start	end	text
338340	340020	And actually, and they got better and better.
340020	342780	I mean, you know, someone said, yeah, he set up the entire stage.
342780	346420	He did an entire set change in between acts in like 90 seconds flat.
346420	348860	You know, it just, all sorts of crazy stories grew.
348860	352100	Anyway, the result was that I was hired by that company.
352100	354900	And I told them, look, it's, this is all wrong.
354900	356440	I've seen your equipment.
356440	358540	That's how I know how to put it together.
358540	362940	And they were like, anyway, the stories kept growing, actually for years they kept growing.
363460	366260	I worked for that company maybe for about six years on and off.
366260	371100	So basically I was either in school or I was essentially on the road doing rock and roll
371100	372100	sound.
372100	375420	So I guess there was your first sliding door.
375420	379420	You could have actually made a career in that direction, but you decided to go to Berkeley
379420	381700	for a PhD in control theory.
381700	382700	Exactly.
382700	386980	I remember very well when the owner of the sound company was like telling me like, dude,
386980	390940	I don't know about this PhD thing, but you should do this right now.
390940	395380	Actually, I thought, I mean, I thought about it, not too much actually, to tell you the
395380	396380	truth.
396380	400340	What was funny was I met him about 10 years ago.
400340	405540	So long, long time, many decades after I had stopped working for them.
405540	407580	And two things happened when we chatted.
407580	408580	It was funny.
408580	413660	Number one is I was thinking to myself, the stories I remember from that time, maybe I've
413660	414660	improved.
414660	415660	I probably, I did improve them.
415660	417300	I don't know if they're true or not.
417300	419980	I mean, they were probably based in truth, but anyway.
420020	423260	He confirmed that some of the stories that I was most suspicious of, these are my own
423260	424260	stories.
424260	425860	He confirmed they were true.
425860	429300	And then reminded me of even crazier stories that I had completely forgotten.
429300	437180	So anyway, so, so anyway, but somehow the appeal of Volterra series was more, you know,
437180	440060	when you put it that way, I think the answer is no.
440060	441060	I can tell you this.
441060	446740	If you're, if you're mixing house in a 15,000 seat venue, right.
446740	451940	And you know, on your headphones, the stage manager says, we're T minus four seconds.
451940	457300	And you pop your button across the, to unmute all the sub masters on the mixing console.
457300	460820	You know, this, this beats Volterra series.
460820	461820	I'm just going to say it.
461820	462820	I'm sorry.
462820	463820	It's good.
463820	464820	No.
464820	469580	And anyway, I guess when you were in Berkeley, you were surrounded by people that nowadays
469580	471420	are considered giants in the field.
471420	475540	I'm thinking of Chua, Dessour, Sastry, just to name a few.
475540	478900	And I was wondering, what was your experience there?
478900	480540	Oh, it was great.
480540	485580	I mean, they are the reason I switched over to EECS.
485580	492300	I mean, you know, they were, and in very different ways, you know, Dessour was precise and very
492300	495020	clear in a beautiful way.
495020	497500	Chua just knew so much.
497500	501580	It was just, you know, had an interest just all over the map and all sorts of weird areas
501580	506180	involving, you know, nonlinear circuits, but also all sorts of crazy stuff.
506180	509980	And then Sastry, Shankar Sastry was amazing.
509980	514700	He was this kind of young, I think I called him a child professor because he really was.
514700	517460	I mean, he was just a kid.
517460	520100	Had just an infinite amount of energy.
520100	524900	These three were just, you know, if you take the convex hull of these three, it's very
524900	525900	impressive.
525900	526900	Let's put it that way.
526900	529900	So, yeah, they had a big influence on me.
529900	533820	And your investigations there were, as you mentioned, fairly theoretical.
533820	538420	I mean, yeah, you know, in doing my homework for this podcast, I was checking your first
538420	544980	paper with Leon Chua, I believe, on the passivity criterion for TIN ports.
544980	550620	And I actually love the abstract, it was incredible, because it already gives a bit of a hint about
550620	554340	your future style in a way, which is quite predictive.
554340	558700	You say there are existing proofs of the passivity criterion for linear time invariant
558700	565460	distributed ports are either incorrect or too involved, requiring the use of advanced
565460	567460	mathematics such as distribution theory.
567460	571940	This paper presents a simple but completely rigorous proof using only basic, real and
571940	572980	complex analysis.
572980	575260	I think that's wonderful already.
575260	576260	That's great.
576260	580900	Now, in my defense, I will say that that was at the very beginning of my transition from
580900	581900	math to ECS.
582460	585900	I guess a lot of people think about, you know, how is, what are the good parts about math
585900	589620	and why should you learn some and stuff like that.
589620	593140	One aesthetic in math is simplicity.
593140	594140	I mean, you know-
594140	595140	Occam's razor.
595140	596140	Yeah.
596140	597140	Some people make stuff really complicated.
597140	601780	And, you know, there's stories, possibly even true of, you know, Russian mathematicians
601780	605340	who spend seven years working on a paper and someone says, why?
605340	608380	And he said, the proof used to be seven pages.
608380	609780	Now it's three quarters of a page.
609780	611420	Now I'm happy with it, right?
611940	618300	And so, you know, so there is this very clean and lean aesthetic in math.
618300	621100	And I think it's, it's actually guided me.
621100	622100	I'm very attracted to it.
622100	623100	I won't say I'm not.
623100	624100	Right.
624100	625100	It's, I think it's very cool.
625100	628460	You think that's the use of theory in practice or is there-
628460	630660	Oh, I think that's precisely the theory, right?
630660	631900	I think that's exactly the idea.
631900	637460	I think that, you know, I see a lot of people who imagine that theory is used in practice
637460	638460	like this, right?
638500	643220	Like I go grab a theorem from a journal and then I apply it or whatever, whatever that
643220	644220	means.
644220	645220	I don't even know what that means.
645220	646780	But the point is that's completely wrong, right?
646780	651420	I'm not aware of any theorem that's actually used in anything.
651420	654740	I mean, maybe in some kind of, you know, number theory or something, but it doesn't matter
654740	656020	for cryptography.
656020	658540	But other than that, I'm not aware of any.
658540	665740	So in my opinion, the real value of math in applied settings, control being one of them,
665780	670020	or at least one of them, is what it gives you is clarity of thought.
670020	673560	And that's extremely important in practice.
673560	674740	So let me explain that, right?
674740	679220	If I, you know, here we are in Silicon Valley and people build stuff and, you know, I could
679220	681940	get one team and say, you know, go build this thing.
681940	685700	And with a lot of high level tools now, you can bang something together that looks like
685700	686700	it's working.
686700	692380	I mean, there's kind of a UI and the app works and something happens, but there's another
692380	694180	style and I've seen other people do this.
694180	695180	It's just beautiful.
695620	698700	And there are people who think about it very deeply, often trained in things like math
698700	703200	or something abstract, and they don't do anything for a day or two, right?
703200	706260	After a day or two, they look up and they go, hey, you know what?
706260	712660	The 87 things that we've been asked to implement are actually all instances of only three different
712660	713660	things.
713660	716860	So we're going to implement that correctly.
716860	718840	And then, you know, blah, blah, blah, it'll all fit together.
718840	721620	So what happens is they'll build something.
721620	723700	And here's where this is practically useful.
723700	728460	You know, when people just hack something together to knock off 87 requirements, it's
728460	734560	going to be horrible code, badly structured, there's going to be all sorts of weird dependencies.
734560	735560	It won't be correct.
735560	737700	You'll never be able to actually debug it.
737700	742260	You definitely cannot extend it or anything like that or modify it.
742260	745660	Whereas when you see people who actually kind of think abstractly and actually took the
745660	752660	time to work out what were the correct abstractions, you get beautiful, lean code that has very
752660	754180	high probability being correct.
754180	755180	It's extensible.
755180	759420	And then just as a purely practical matter, the cost of ownership of that project is a
759420	760420	lot less.
760420	764180	Because, you know, it actually will, number one, it will work.
764180	765620	Number two, it's extensible.
765620	766700	It's maintainable.
766700	768420	It's like Linux, for example.
768420	770220	That's a good model of this.
770220	772740	Well, here, there's a lot to unpack already.
772740	777420	I think implicitly, you're touching also on the concept of maybe something that we're
777420	783580	going to talk about, the concept of disciplined convex programming, but also generally the
783580	788820	idea that maybe this is actually the value of human creativity in a way that of parsing
788820	794140	through different concepts and being able to synthesize in a way what is important and
794140	800740	how to categorize different ideas or I guess classes in the language of computer science.
800740	801740	I'm not sure.
801740	804300	But yeah, maybe taking a step back.
804300	808900	I feel like we're diverging from your PhD at Berkeley.
808900	815780	I just wanted to understand how that actually relates to you today in a way.
815780	820860	So how do we connect a person that, you know, had this crazy interest for mathematics, full
820860	827260	time operators, very, very theoretical concepts with the person that you are today?
827260	834060	So something that I would associate you to very applied concepts, very useful in a way
834060	837220	concepts for everyday engineering.
837220	839060	Yeah, it does apply.
839060	844260	As I said, that was sort of the beginning of my transition from pure math to EECS in
844260	846420	general to more practical things.
846420	848260	You can call it applied math.
848260	850380	Control was one interest.
850380	852020	So I think that was the very beginnings of it.
852220	856300	Actually, it's since then, I mean, I'm still on that journey.
856300	864260	And it's super interesting to me to see how people in different fields use math.
864260	868140	And you know, by this time in my life, I've visited many, many fields.
868140	870780	So I've been a sort of a visitor at many.
870780	874700	But I've actually spent time, you know, spent like, you know, whatever, you know, a couple
874700	877100	of year periods in a bunch of fields.
877100	879900	I mean, circuit design was one, that was very weird.
879900	881740	Finance is another.
882460	885700	And what's interesting to me are the anthropological issues.
885700	889980	How do people use math in practical settings?
889980	893380	So it's really questions like, you know, how do they think about this?
893380	896860	Do they use a lot of brute force computing?
896860	897900	It's so interesting.
897900	901580	And what's very interesting to me is I found out that in these different fields, which
901580	904700	are, you know, speak completely different dialects.
904700	911180	I mean, they're not completely mutually unintelligible, I can guarantee it.
911180	916460	What's interesting when you look at that is the same topics come up over and over again.
916460	920940	You know, one would be, you know, how good is your model?
920940	924660	And the acknowledgement that your model is not perfect, right?
924660	929780	You know, in let's say circuit design, you know, spice model for a process that's already
929780	933380	pretty mature, that's actually pretty good.
933380	938580	In finance, you know, the models are, or as a friend of mine says, he's super happy if
938580	940420	he gets the sign right, right?
940420	945820	So, you know, this is not Newtonian mechanics, right?
945820	948060	But then, you know, robustness is another one.
948060	954700	Like, you know, how do you design something or decide on good actions or build a good
954700	959620	model that's going to be robust to things being not what you thought they were?
959620	962020	And that comes up in every single field.
962020	966540	They all have interesting different ways to talk about it and think about it.
966540	971900	And some of the methods that are used are from one field or other might look very unsophisticated,
971900	973620	but in fact work very well.
973620	978540	So that's sort of very interesting to me to see how people do this.
978540	984800	I guess that's really the value in a way of traveling, at least from an intellectual perspective.
984800	987620	There is this quote from Mark Twain.
987620	991540	He says, travel is fatal to prejudice, bigotry and narrow mindedness.
991540	994860	And it seems like this very well resonates with what you just said.
994860	995860	Yeah.
996180	1000740	So, you know, whether traveling intellectually taught you something that you didn't know before.
1000740	1001740	Absolutely.
1001740	1004580	I strongly recommend it to everyone.
1004580	1007060	Just to know a little bit about different fields.
1007060	1010260	One of the interesting things is that you really get people speaking different dialects
1010260	1011740	and you can't.
1011740	1017920	They are mutually unintelligible unless someone is there who actually speaks both dialects.
1017920	1020380	It's very hard to translate from one to the other.
1020380	1023940	And now I know when I go into a field and I listen and I'm like, these people sound
1024020	1025820	like idiots to me.
1025820	1032060	But now I know from experience that I should just calm down, you know, wait a couple of months.
1032060	1036060	Maybe some of these terms are going to start and then I'll start understanding what they're saying.
1036060	1037380	And in fact, they're not idiots.
1037380	1039740	And this has happened to me many, many times.
1039740	1042460	And it's so it's actually quite interesting.
1042460	1046100	I think it's very good for all of academia and for research.
1046100	1050300	It's super good to travel, to look at other areas.
1050300	1056420	I guess your first travel was from control itself towards the world, I guess, of computation.
1056420	1057820	Would it be fair to say?
1057820	1058820	Yeah.
1058820	1063500	Actually, I think the very first academic stuff I did was on modeling of nonlinear systems
1063500	1065820	via Volterra series.
1065820	1069420	I also dabbled in, at that time, adaptive control.
1069420	1074620	And then actually became interested in designing control systems using numerical optimization
1074620	1075620	methods.
1075620	1076620	Right.
1076620	1077620	So that's one thing I did.
1077940	1083100	I think that's the branch that grew into what I ended up really focusing on.
1083100	1087420	And, you know, what I liked about that stuff, I mean, that was a long time ago, what was
1087420	1094540	very interesting about it was that it appealed to me aesthetically because it was both theoretical,
1094540	1099380	it was using all sorts of stuff about, you know, the parametrization of stabilizing controllers.
1099380	1101980	It was using kind of theoretical stuff.
1101980	1106740	It also used computation to actually solve problems.
1106860	1109580	And then at the same time, it was actually extremely useful, right?
1109580	1111700	It actually solved real problems.
1111700	1115420	So I think that combination of things just really appealed to me.
1115420	1117500	And I mean, it still does, to be honest.
1117500	1118980	So I think it's great.
1118980	1119980	Yeah.
1119980	1125420	In fact, I mean, what I saw, you know, doing a bit of searching was that you got your PhD
1125420	1127260	in 1985.
1127260	1133060	And from 1988, what I observed is that the word computation starts to appear in your
1133060	1137980	publications and it grows from 1988 to 1992.
1137980	1143340	It goes like one, one, and then three, four per year.
1143340	1145420	So it definitely seems to resonate with you.
1145420	1148940	And at the same time, also the keyword optimization as well.
1148940	1154740	So you were moving definitely in that direction from the world of nonlinear systems and very
1154740	1157060	complicated mathematical tools, I would say.
1157060	1158060	Yeah.
1158060	1163180	And I very much like the idea that sort of, you know, some advanced mathematical things
1163180	1168980	like convex optimization, actually they are very mathematical, but they're also unbelievably
1168980	1172460	useful, which is super interesting because, you know, you normally think of this weird
1172460	1177700	axis where, you know, on one side, there's like pure theory and it's pretty useless,
1177700	1178700	right?
1178700	1181980	And then on the other side, you have something that's, you know, there's almost no theory
1181980	1182980	and it's super useful.
1182980	1185380	And of course, you do see some of that.
1185380	1189380	But what's interesting is that there are a lot of things that are both and I find that
1189380	1191540	sort of very interesting.
1191540	1193700	I think it's very cool.
1193700	1196860	I definitely wanted to talk about this topic.
1196860	1202100	Both of your most well-known publications or books rather, Linear Metrics Inequalities
1202100	1209220	in Systems and Control Theory and Convex Optimization are masterpieces in this domain.
1209220	1215240	And they both involve quite a bit of convex optimization and they do turn into something
1216100	1219840	that is incredibly useful and that's perhaps also reflected in the success, at least in
1219840	1223160	terms of citations, if we take that as a measure.
1223160	1227220	And I'm wondering, I mean, one question I would have for you is why should everybody
1227220	1230320	know a bit of convex optimization?
1230320	1231320	That's a good question.
1231320	1232320	Yeah.
1232320	1235160	Of course, it does depend on our definition of everybody because if you really mean just
1235160	1240680	everybody, then I'm not sure I'd be on board with that statement.
1240680	1247040	So if you mean anyone who does any kind of quantitative work, then I would totally agree
1247040	1248600	with the statement.
1248600	1253640	And yeah, I can say a little bit about why I think it is important for anyone who...
1253640	1255760	And that's many, many fields, right?
1255760	1260600	And there's the obvious ones like whatever, all of engineering, right?
1260600	1262680	Much of social science these days.
1262680	1265160	So maybe quite a lot of science.
1265160	1272400	So the reason is it's an incredibly important tool to actually solve optimization problems,
1272400	1273400	right?
1273400	1278520	That the usual sort of story on optimization problems is here's what I'd like to solve.
1278520	1282280	And then basically, I mean, people don't admit it when they're teaching these classes, but
1282280	1285560	the bottom line is we can't actually solve most of those problems, right?
1285560	1287120	You just can't, right?
1287120	1289520	I mean, maybe that doesn't matter.
1289520	1295000	We have heuristics that do well and if you get a good model or if you make good
1295000	1298640	predictions or if your hedge fund makes money, you're fine.
1298640	1301000	You don't need to worry about that.
1301000	1307240	But the fact is there is a group of mathematical optimization problems that we can solve numerically
1307240	1310600	via computers really, really well.
1310600	1315720	I mean, I used to go around and say things like, oh, the great advantage is you get the
1315720	1316920	global optimum.
1316920	1318240	There's no apologies.
1318240	1322600	You don't have a little star and a footnote and the footnote when you say, oh, I minimize
1322600	1327760	this and the footnote says, well, maybe or maybe I didn't or something like that, right?
1327760	1332280	So I used to do that until actually I remember I met someone who was a senior executive at
1332280	1334800	a large semiconductor firm.
1334800	1342840	So I was chatting with him and I said, look, this is the best design of this thing that
1342840	1343840	there is.
1343840	1346480	And he looked at me and said, how could you possibly know that?
1346480	1347480	How could you know?
1347480	1350040	And I realized like for a normal person, that's the correct response.
1350040	1351920	Like what hubris, right?
1351960	1355120	What would cause a person to say this is the best there is, right?
1355120	1360240	And I said, I started my usual spiel, which was like, hey, look, you know, basically,
1360240	1364040	you know, it has to do with the mathematical properties of the functions involved and I'm
1364040	1365160	blabbering on and on.
1365160	1368640	And he just puts his hand up and says, stop, stop right there.
1368640	1369640	And I was like, what is it?
1369640	1375200	And he said, look, fine, he said, but that's only the best design for this particular circuit
1375200	1376200	configuration.
1376200	1377400	And I was like, yeah, you're right.
1377400	1378880	And he said, but there's lots of others.
1378880	1380240	How do you know there's not another one?
1380240	1382080	And I said, you're right.
1382080	1386880	And then he said, now you be quiet and I'm going to tell you what's useful about convex
1386880	1387880	optimization.
1387880	1390440	So here I am being lectured by a senior circuit designer.
1390440	1395920	By the way, so, and he says to me, look, I don't care about your global stuff.
1395920	1396920	Who cares?
1396920	1398920	If you do real engineering, nothing is global.
1398920	1400280	And I didn't even know what that means.
1400280	1401280	And I said, okay, granted.
1401280	1404120	And then he says, look, here's what's useful.
1404120	1407480	When you solve these things, you don't need a starting point, number one.
1407480	1412040	Number two, you don't need to babysit the algorithm.
1412040	1417720	And he said, we've looked at a lot of these algorithms that do circuit design and stuff
1417720	1418800	like that.
1418800	1421640	They require a starting point, right?
1421640	1426520	He said, then they take off and they'll go from a good design to a quite good design.
1426520	1428600	And he said, do you know what we call a good design around here?
1428600	1429600	I'm like, no, what?
1429600	1432000	And he said, done, done.
1432000	1436840	He said, we are under unbelievable business pressure to get things out there.
1437200	1440280	And I said, well, since you have a good design, like we don't want to get another 15% of performance
1440280	1441280	out of it.
1441280	1442280	We want to tape it out.
1442280	1446280	So I listened and I realized like, oh my God, like he's totally right.
1446280	1449880	And what's interesting is how it, where it goes in control.
1449880	1457200	So in control, you know, if you embed a convex optimization solver in a control system, as
1457200	1461960	you might do an MPC or for actuator allocation, it's not a question.
1461960	1465520	It's not like the fact that you're getting global optimal, who cares?
1465520	1472560	What matters is these algorithms can be made so reliable that they can be embedded in systems
1472560	1476960	with absolutely no oversight that solve things a thousand times a second in safety, critical
1476960	1477960	things.
1477960	1479400	And they just don't fail.
1479400	1482640	That's actually the real value I would say, right?
1482640	1483640	Of this.
1483640	1485560	So, so anyway, I think there are a lot of practical values.
1485560	1489200	They're not the obvious ones that maybe I thought when I was young, let's put it that
1489200	1490200	way.
1490200	1491200	Yeah.
1491200	1495280	And I find very interesting the fact that you really interfaced with the industrial
1495280	1497440	world and really hardcore levels.
1497440	1502240	I was reading that your CVX gen, which I'm sure we're going to talk about later, has
1502240	1505640	been used in SpaceX missions recently.
1505640	1507840	And I was wondering what was your experience there?
1507840	1511520	Like thinking about the cultural difference, if you want, between the world of academia
1511520	1516760	in which you presumably live, but also the other world, the real world in a sense.
1516760	1517760	Yeah.
1517760	1518760	So that's interesting.
1518760	1519760	Actually, it wasn't used recently.
1520320	1523440	Every single one from the prototypes through, it's just in production now.
1523440	1524440	Yeah.
1524440	1528320	So, and to be completely clear about that, how much I had to do with it was very, very
1528320	1529320	little.
1529320	1535360	It was my student, Thomas Lipp and Lars Blackmore, who were the ones who really pioneered these
1535360	1536360	things.
1536360	1543000	It's wonderful to see these things realized in very sophisticated settings and also to
1543000	1544520	deliver incredible value.
1544520	1549000	You know, classical control and things like that just wasn't going to cut it for this,
1549680	1550680	So that was very gratifying.
1550680	1555880	I mean, there's been a lot of others, you know, in areas like finance and control and
1555880	1559960	energy management that it's very nice just to see people using this stuff.
1559960	1566000	I mean, I remember once I went to Tesla and some people who ran their grid scale storage
1566000	1567000	products.
1567000	1568400	It's very cool, right?
1568400	1571040	They have a giant cargo container full of batteries.
1571040	1574280	They have a Raspberry Pi and on it is running CVX Pi.
1574280	1575280	Wow.
1575280	1576880	And they told me, actually, it's very funny.
1577640	1578640	They told me their problem.
1578640	1579640	I listened.
1579640	1583320	It wasn't quite convex, but there's a street fighting trick, you know?
1583320	1586720	So I'm sitting there and they finish and I said, well, how do you solve it?
1586720	1589560	Expecting that I'm going to have to tell them this trick.
1589560	1593920	They proceed to then tell me precisely the trick and articulate it perfectly.
1593920	1597320	And I'm like, whoa, how did you guys figure that out?
1597320	1598320	And then they looked at each other.
1598320	1600120	They looked at me and they said, we took your class.
1600120	1603080	So I was like, okay, good, good.
1603080	1604600	So I was quite proud of that.
1604920	1608280	And actually it's one of those things where I said, well, so you don't need me.
1608280	1609280	That's great.
1609280	1610280	This is awesome.
1610280	1611280	And thanks for showing me this.
1611280	1614720	So I was very gratified that it happened.
1614720	1618600	Maybe talking about convex optimization and your classes and that, I mean, I'm sure also
1618600	1624400	we're going to talk about teaching later because you're the author of a legendary series on
1624400	1627880	convex optimization on YouTube and that is free access.
1627880	1630640	And there's definitely a lot to talk about there as well.
1630640	1635440	But I was trying to trace back a history of convex optimization somehow.
1635440	1640560	And of course the concepts of convexity go all the way back to, you know, Euclid, Archimedes
1640560	1642280	and optimization.
1642280	1645560	We can trace it back to Fermat, Lagrange and blah, blah, blah.
1645560	1651800	But I was wondering whether the actual start of convex optimization should be pinpointed
1651800	1655680	to linear programming, simplex algorithm, Danzig.
1655680	1658080	And then it seems like a very recent theory.
1658080	1659080	I think that's right.
1659080	1664160	The theory of convexity was codified maybe around the turn of the last century, right?
1664160	1668600	So that's when you would get, you know, but of course it had been used before that.
1668600	1673240	I mean, we still see fields where people are using essentially convex optimization and
1673240	1675640	either don't know it or don't point it out, right?
1675640	1679400	So you look at something, you go, oh, that's just a conjugate of that function, like, or
1679400	1680400	something like that.
1680400	1683680	And so the ideas were there, actually the inequalities were there.
1683680	1687760	It just got a common name, you know, around the turn of the last century.
1687800	1694520	Now, it was pretty much a theory then because computation was very limited.
1694520	1698320	But starting, you know, around mid 40s, I would say, is when things get interesting
1698320	1703400	and that coincides precisely with the development of the digital computer.
1703400	1708440	And you know, it wasn't long after, I mean, if you think about Danzig coming up with,
1708440	1714520	you know, a simplex method for linear programming, it was not that long after the development
1714520	1716760	of the first actual computers, right?
1716760	1722680	So, and I remember I actually overlapped with him at Stanford when I first came and I remember
1722680	1727960	him telling me something like that it was a huge big deal to solve like a linear program
1727960	1733840	with like 30 or 40 variables, which, you know, is laughable now, but he said that it was
1733840	1737720	a lot of effort and when they did it, they all like, you know, they went out and had
1737720	1738720	some beer to celebrate.
1738720	1740520	I mean, it was a big deal.
1740520	1744400	So it was one of the very first applications of digital computers.
1744400	1750080	But if I were going to say, you know, when does the, I mean, from a mathematical point
1750080	1753720	of view, you'd have to say, end of the 19th century, right?
1753720	1757840	But from the practical point of view, I think you'd have to say around 1950.
1757840	1758840	1950.
1758840	1759840	Yeah.
1759840	1764880	And, and I guess then the developments were the, I mean, the most important ones were
1764880	1769680	the development of the interior point methods, I guess, ellipsoid method probably.
1769680	1770680	Yeah.
1770680	1771680	Well, those are later.
1771680	1772680	Yeah.
1772960	1774640	So you actually had two traditions.
1774640	1781000	It was actually very interesting in the West, in optimization, OR, and these kinds of areas.
1781000	1787200	The tradition was you'd either work on like linear programming or nonlinear programming,
1787200	1788200	right?
1788200	1789200	And that was the distinction.
1789200	1790960	I mean, it makes perfect sense.
1790960	1795080	I mean, it was fine, you know, and it's like linear programming was easy, interesting,
1795080	1801160	you know, nonlinear was more expressive, but, you know, it was complicated and maybe you
1801160	1804600	didn't even get the solution when you apply these algorithms to it.
1804600	1808760	And I think in the Soviet Union, however, there was a big focus, this is now in the
1808760	1813240	sixties, on actually convex optimization.
1813240	1818320	And so there was a lot of work done in the sixties and seventies and eighties in the
1818320	1819320	Soviet Union.
1819320	1824200	I think we will talk about that later, where they really focused on convex optimization
1824200	1827680	and they came up with all sorts of things.
1827680	1831040	Interior point method was an interesting, super interesting method.
1831040	1836840	Of course, it's actually in practice, you know, pretty much not used and not useful.
1836840	1841080	And of course the converse of that is something like the simplex method, which in the sixties
1841080	1845520	was shown to be worst case exponential, but it didn't stop the hundreds of thousands of
1845520	1851680	people using it every day because it just worked unbelievably well in practice, right?
1851680	1853800	Interior point methods was also an interesting thing.
1853800	1858440	You know, that was a big, you know, rage in the late eighties and the nineties.
